,title,address,latitude,longitude,retailer_type
0,Dollar Variety Store,762 Amsterdam Ave.,40.794936,-73.969728,"Convenience stores, pharmacies, and delis"
1,Galaxy Gourmet,3778 Broadway,40.833942,-73.944853,"Convenience stores, pharmacies, and delis"
2,Finest Columbia Deli,945 Amsterdam Ave.,40.800718,-73.965524,"Convenience stores, pharmacies, and delis"
3,Santiago Deli Food,3415 Broadway,40.82239,-73.953531,"Convenience stores, pharmacies, and delis"
4,ABC Mart,3505 Broadway,40.825393,-73.951326,"Convenience stores, pharmacies, and delis"
5,Freedom Deli #2,908 St. Nicholas Ave.,40.831223,-73.94126,"Convenience stores, pharmacies, and delis"
6,3872 ENG Deli,3872 Broadway,40.836938,-73.942652,"Convenience stores, pharmacies, and delis"
7,Heights Deli Foods,1649 Amsterdam Ave.,40.822986,-73.949258,"Convenience stores, pharmacies, and delis"
8,164th St. Deli Grocery,2097 Amsterdam Ave.,40.837121,-73.938932,"Convenience stores, pharmacies, and delis"
9,Big Apple Smoke Shop,3542 Broadway,40.826618,-73.950187,"Convenience stores, pharmacies, and delis"
10,Golden Earth Candy,3635 Broadway,40.829402,-73.948413,"Convenience stores, pharmacies, and delis"
11,Best Gourmet Deli Grocery,896 Amsterdam Ave.,40.798927,-73.966825,"Convenience stores, pharmacies, and delis"
12,Ellington Deli,934 Columbus Ave.,40.799085,-73.96298,"Convenience stores, pharmacies, and delis"
13,Mini Star,3611 Broadway,40.828738,-73.94889,"Convenience stores, pharmacies, and delis"
14,Walgreens #14489,3387 Broadway,40.821647,-73.954081,"Convenience stores, pharmacies, and delis"
15,New Amsterdam Gourmet,1681 Amsterdam Ave.,40.824139,-73.948409,"Convenience stores, pharmacies, and delis"
16,162 Gourmet Deli,601 W. 162nd St.,40.837231,-73.942705,"Convenience stores, pharmacies, and delis"
17,Super Value Meat Market,3461 Broadway,40.824119,-73.952265,"Convenience stores, pharmacies, and delis"
18,F Douglass 99 Cents,850 Amsterdam Ave.,40.797529,-73.967839,"Convenience stores, pharmacies, and delis"
19,Unique 99 Cent More or Less,3427 Broadway,40.823115,-73.952997,"Convenience stores, pharmacies, and delis"
20,NYC One,1995 Amsterdam Ave.,40.833968,-73.941232,"Convenience stores, pharmacies, and delis"
21,Hafeez Candy Store,3895 Broadway,40.83773,-73.942338,"Convenience stores, pharmacies, and delis"
22,946 Columbus Ave Conv.,946 Columbus Ave.,40.799587,-73.962612,"Convenience stores, pharmacies, and delis"
23,105 Deli & Grill,922 Amsterdam Ave.,40.79993,-73.966093,"Convenience stores, pharmacies, and delis"
24,Toure Sidi M,905 Columbus Ave.,40.798123,-73.96369,"Convenience stores, pharmacies, and delis"
25,Presbyterian Deli,1083 St. Nicholas Ave.,40.837981,-73.939944,"Convenience stores, pharmacies, and delis"
26,Manhattanville Gourmet,1477 Amsterdam Ave.,40.817488,-73.953271,"Convenience stores, pharmacies, and delis"
27,142 Grocery and Tobacco,3475 Broadway,40.824364,-73.952089,"Convenience stores, pharmacies, and delis"
28,Aziz Deli,3448 Broadway,40.823456,-73.952492,"Convenience stores, pharmacies, and delis"
29,Hamilton Meat Market,1 Hamilton Pl.,40.820909,-73.95436,"Convenience stores, pharmacies, and delis"
30,Washington Heights Grocery,2011 Amsterdam Ave.,40.834485,-73.940852,"Convenience stores, pharmacies, and delis"
31,King West Deli,62 Manhattan Ave.,40.796611,-73.962961,"Convenience stores, pharmacies, and delis"
32,Luna Deli,3494 Broadway,40.824949,-73.951401,"Convenience stores, pharmacies, and delis"
33,Red Olive Deli,567 W. 125th St.,40.815383,-73.95808,"Convenience stores, pharmacies, and delis"
34,Gopuff (Broadway),2680 Broadway,40.798628,-73.968772,"Convenience stores, pharmacies, and delis"
35,Ameen Deli,1776 Amsterdam Ave.,40.82706,-73.946274,"Convenience stores, pharmacies, and delis"
36,Alphaya 99,1405 Amsterdam Ave.,40.815283,-73.954876,"Convenience stores, pharmacies, and delis"
37,Broadway Gourmet,3750 Broadway,40.833222,-73.945363,"Convenience stores, pharmacies, and delis"
38,109 Spicy Gourmet Deli,990 Amsterdam Ave.,40.802237,-73.964391,"Convenience stores, pharmacies, and delis"
39,Yuca Mexican Products,1345-1349 Amsterdam Ave.,40.813776,-73.95598,"Convenience stores, pharmacies, and delis"
40,Rite Aid Pharmacy #04185,3539 Broadway,40.826224,-73.950713,"Convenience stores, pharmacies, and delis"
41,99 Cents & Up NYC,921 Columbus Ave.,40.798714,-73.963253,"Convenience stores, pharmacies, and delis"
42,Grab & Go Gourmet Deli,3920 Broadway,40.838628,-73.941418,"Convenience stores, pharmacies, and delis"
43,Ranch Deli,856 Amsterdam Ave.,40.797774,-73.967662,"Convenience stores, pharmacies, and delis"
44,CVS Pharmacy #11075,2833 Broadway,40.80401,-73.966949,"Convenience stores, pharmacies, and delis"
45,Rite Aid #7759,1033 St. Nicholas Ave.,40.8361,-73.939965,"Convenience stores, pharmacies, and delis"
46,Manhattan Seafood,3344 Broadway,40.820337,-73.954773,"Convenience stores, pharmacies, and delis"
47,King Columbus Gourmet Deli,900 Columbus Ave.,40.79805,-73.963744,"Convenience stores, pharmacies, and delis"
48,J&F Meat Market,1975 Amsterdam Ave.,40.833489,-73.941578,"Convenience stores, pharmacies, and delis"
49,Mondel Chocolates,2913 Broadway,40.806554,-73.965089,"Convenience stores, pharmacies, and delis"
50,901 Columbus Deli,901 Columbus Ave.,40.798062,-73.963735,"Convenience stores, pharmacies, and delis"
51,Ydhny Seafood,600 W. 160th St.,40.835974,-73.943601,"Convenience stores, pharmacies, and delis"
52,West Park Deli,19 W. 103rd St.,40.796603,-73.962629,"Convenience stores, pharmacies, and delis"
53,528 Sugar Hill Gourmet,528 W. 145th St.,40.825935,-73.949275,"Convenience stores, pharmacies, and delis"
54,Haiderah Candy,561 W. 145th St.,40.826173,-73.94984,"Convenience stores, pharmacies, and delis"
55,CVS Pharmacy #10827,3536 Broadway,40.826252,-73.950447,"Convenience stores, pharmacies, and delis"
56,Duke Ellington Deli,934 Columbus Ave.,40.799085,-73.96298,"Convenience stores, pharmacies, and delis"
