title,address,latitude,longitude,retailer_type,,,
Dollar Variety Store,762 Amsterdam Ave.,40.794936,-73.969728,"Convenience stores, pharmacies, and delis",,,
Galaxy Gourmet Deli,3778 Broadway,40.833942,-73.944853,"Convenience stores, pharmacies, and delis",,,
Columbia Deli,945 Amsterdam Ave.,40.800718,-73.965524,"Convenience stores, pharmacies, and delis",,,
Santiago Deli,3415 Broadway,40.82239,-73.953531,"Convenience stores, pharmacies, and delis",,,
ABC Mart,3505 Broadway,40.825393,-73.951326,"Convenience stores, pharmacies, and delis",,,
Freedom Deli 2,908 St. Nicholas Ave.,40.831223,-73.94126,"Convenience stores, pharmacies, and delis",,,
3872 ENG Deli,3872 Broadway,40.836938,-73.942652,"Convenience stores, pharmacies, and delis",,,
Heights Food Deli,1649 Amsterdam Ave.,40.822986,-73.949258,"Convenience stores, pharmacies, and delis",,,
164 Convenience Store,2097 Amsterdam Ave.,40.837121,-73.938932,"Convenience stores, pharmacies, and delis",,,
Golden Earth Candy,3635 Broadway,40.829402,-73.948413,"Convenience stores, pharmacies, and delis",,,
Gourmet Deli,896 Amsterdam Ave.,40.798927,-73.966825,"Convenience stores, pharmacies, and delis",,,
Duke Ellington Gourmet Deli,934 Columbus Ave.,40.799085,-73.96298,"Convenience stores, pharmacies, and delis",,,
Mini Star Convenience,3611 Broadway,40.828738,-73.94889,"Convenience stores, pharmacies, and delis",,,
Duane Reade,3387 Broadway,40.821647,-73.954081,"Convenience stores, pharmacies, and delis",,,
New Amsterdam Gourmet Deli,1681 Amsterdam Ave.,40.824139,-73.948409,"Convenience stores, pharmacies, and delis",,,
Super Value Meat Market,3461 Broadway,40.824119,-73.952265,"Convenience stores, pharmacies, and delis",,,
Unique 99 Cent More or Less,3427 Broadway,40.823115,-73.952997,"Convenience stores, pharmacies, and delis",,,
Hafeez Candy Store,3895 Broadway,40.83773,-73.942338,"Convenience stores, pharmacies, and delis",,,
Toure Enterprises 99 Cent Plus,905 Columbus Ave.,40.798123,-73.96369,"Convenience stores, pharmacies, and delis",,,
Presbyterian Deli,1083 St. Nicholas Ave.,40.837981,-73.939944,"Convenience stores, pharmacies, and delis",,,
Manhattanville Gourmet Deli,1477 Amsterdam Ave.,40.817488,-73.953271,"Convenience stores, pharmacies, and delis",,,
Aziz Deli,3448 Broadway,40.823456,-73.952492,"Convenience stores, pharmacies, and delis",,,
Hamilton Meat Market,1 Hamilton Pl.,40.820909,-73.95436,"Convenience stores, pharmacies, and delis",,,
Washington Heights Grocery Inc,2011 Amsterdam Ave.,40.834485,-73.940852,"Convenience stores, pharmacies, and delis",,,
King West Deli,62 Manhattan Ave.,40.796611,-73.962961,"Convenience stores, pharmacies, and delis",,,
Luna Deli,3494 Broadway,40.824949,-73.951401,"Convenience stores, pharmacies, and delis",,,
Red Olive Deli,567 W. 125th St.,40.815383,-73.95808,"Convenience stores, pharmacies, and delis",,,
1776/Ameen Deli Corp,1776 Amsterdam Ave.,40.82706,-73.946274,"Convenience stores, pharmacies, and delis",,,
2M Discount Store,1405 Amsterdam Ave.,40.815283,-73.954876,"Convenience stores, pharmacies, and delis",,,
109 Spicy Gourmet Deli,990 Amsterdam Ave.,40.802237,-73.964391,"Convenience stores, pharmacies, and delis",,,
Yuca Mexican Products,1345-1349 Amsterdam Ave.,40.813776,-73.95598,"Convenience stores, pharmacies, and delis",,,
Rite Aid,3539 Broadway,40.826224,-73.950713,"Convenience stores, pharmacies, and delis",,,
99 Cents & Up NYC,921 Columbus Ave.,40.798714,-73.963253,"Convenience stores, pharmacies, and delis",,,
Grab & Go Gourmet Deli,3920 Broadway,40.838628,-73.941418,"Convenience stores, pharmacies, and delis",,,
Ranch Deli,856 Amsterdam Ave.,40.797774,-73.967662,"Convenience stores, pharmacies, and delis",,,
CVS,2833 Broadway,40.80401,-73.966949,"Convenience stores, pharmacies, and delis",,,
Rite Aid ,1033 St. Nicholas Ave.,40.8361,-73.939965,"Convenience stores, pharmacies, and delis",,,
King Columbus Gourmet Deli,900 Columbus Ave.,40.79805,-73.963744,"Convenience stores, pharmacies, and delis",,,
J&F Meat Market,1975 Amsterdam Ave.,40.833489,-73.941578,"Convenience stores, pharmacies, and delis",,,
Sammy Deli Corp,901 Columbus Ave.,40.798062,-73.963735,"Convenience stores, pharmacies, and delis",,,
528 Sugar Hill Gourmet Deli,528 W. 145th St.,40.825935,-73.949275,"Convenience stores, pharmacies, and delis",,,
Haiderah Candy,561 W. 145th St.,40.826173,-73.94984,"Convenience stores, pharmacies, and delis",,,
CVS,3536 Broadway,40.826252,-73.950447,"Convenience stores, pharmacies, and delis",,,
Duke Ellington Gourmet Deli,934 Columbus Ave.,40.799085,-73.96298,"Convenience stores, pharmacies, and delis",,,
Mishkins Pharmacy,1714 Amsterdam Ave.,40.825072,-73.947728,"Convenience stores, pharmacies, and delis",,,
Hamilton Heights Grocery,3422 Broadway,40.822671,-73.953067,"Convenience stores, pharmacies, and delis",,,
Yellow Banana Snack Bar,1658 Amsterdam Ave.,40.823408,-73.948953,"Convenience stores, pharmacies, and delis",,,
Duane Reade,568-574 W. 125th St.,40.815008,-73.957741,"Convenience stores, pharmacies, and delis",,,
Morningside Deli,256 Manhattan Ave.,40.801726,-73.959245,"Convenience stores, pharmacies, and delis",,,
Star One Deli,1800 Amsterdam Ave.,40.82789,-73.945663,"Convenience stores, pharmacies, and delis",,,
Broadway Discount Mart Inc.,2708 Broadway,40.799419,-73.968254,"Convenience stores, pharmacies, and delis",,,
The Heights Grocer,3801 Broadway,40.834934,-73.944398,"Convenience stores, pharmacies, and delis",,,
Seafood King Fish Market,3903-3905 Broadway,40.837921,-73.942198,"Convenience stores, pharmacies, and delis",,,
Smart Gourmet Deli,1514 Amsterdam Ave.,40.818667,-73.952415,"Convenience stores, pharmacies, and delis",,,
600 Grocery/Candy,600 W. 161st St.,40.836605,-73.943148,"Convenience stores, pharmacies, and delis",,,
Convenience and Candy,3350 Broadway,40.82054,-73.954626,"Convenience stores, pharmacies, and delis",,,
West 96 Deli,214 W. 96th St.,40.794347,-73.971062,"Convenience stores, pharmacies, and delis",,,
Amsterdam Pharmacy & Surgical Supplies,1743 Amsterdam Ave.,40.826121,-73.946956,"Convenience stores, pharmacies, and delis",,,
CVS,743 Amsterdam Ave.,40.794303,-73.970183,"Convenience stores, pharmacies, and delis",,,
Joe's Gourmet Health Deli,3161 Broadway,40.814804,-73.959118,"Convenience stores, pharmacies, and delis",,,
Rite Aid,741 Columbus Ave.,40.793199,-73.96727,"Convenience stores, pharmacies, and delis",,,
NY1 Deli,1983 Amsterdam Ave.,40.833661,-73.941454,"Convenience stores, pharmacies, and delis",,,
1 Columbia Deli,1290 Amsterdam Ave.,40.811977,-73.957294,"Convenience stores, pharmacies, and delis",,,
Golden Deli,3377 Broadway,40.821368,-73.954288,"Convenience stores, pharmacies, and delis",,,
3 Star Deli Grocery,1045 St. Nicholas Ave.,40.836615,-73.940073,"Convenience stores, pharmacies, and delis",,,
125th St. 99 Cent Mart,521 W. 125th St.,40.814136,-73.956997,"Convenience stores, pharmacies, and delis",,,
Deli 360,360 W. 110th St.,40.801161,-73.959856,"Convenience stores, pharmacies, and delis",,,
Discount Outlet,2067 Amsterdam Ave.,40.836101,-73.939675,"Convenience stores, pharmacies, and delis",,,
Olive Tree Deli,3060 Broadway,40.811343,-73.961322,"Convenience stores, pharmacies, and delis",,,
2732 Convenience Grocery,2732 Broadway,40.800194,-73.967941,"Convenience stores, pharmacies, and delis",,,
Community Candy,3513 Broadway,40.82561,-73.951169,"Convenience stores, pharmacies, and delis",,,
453 Harlem Deli,453 W. 125th St.,40.812766,-73.955785,"Convenience stores, pharmacies, and delis",,,
Broadway Finest Deli,3620 Broadway,40.829046,-73.948405,"Convenience stores, pharmacies, and delis",,,
467 Star Deli,467 W. 125th St.,40.813118,-73.956099,"Convenience stores, pharmacies, and delis",,,
Divya Convenience,934 Amsterdam Ave.,40.800268,-73.965852,"Convenience stores, pharmacies, and delis",,,
Moke&News,3189 Broadway,40.815584,-73.958569,"Convenience stores, pharmacies, and delis",,,
Quezada's Juice Bar,501 W. 145th St.,40.825367,-73.947912,"Convenience stores, pharmacies, and delis",,,
7-Eleven Store #37539A,801 Amsterdam Ave.,40.796215,-73.968794,"Convenience stores, pharmacies, and delis",,,
194 Manhattan Deli,194 Manhattan Ave.,40.800084,-73.960426,"Convenience stores, pharmacies, and delis",,,
155th Street Auto Center,3740 Broadway,40.833021,-73.945508,"Convenience stores, pharmacies, and delis",,,
Eleganza Gourmet,1 Convent Ave.,40.812896,-73.953134,"Convenience stores, pharmacies, and delis",,,
Manhattan Ville Deli Gourmet,1437 Amsterdam Ave.,40.816468,-73.954027,"Convenience stores, pharmacies, and delis",,,
Duane Reade ,2760-2762 Broadway,40.80139,-73.967764,"Convenience stores, pharmacies, and delis",,,
501 Deli,501 W. 125th St.,40.813657,-73.956575,"Convenience stores, pharmacies, and delis",,,
AAA 99 Cents,547 W. 145th St.,40.826112,-73.949695,"Convenience stores, pharmacies, and delis",,,
Ranch Deli,980 Columbus Ave.,40.800853,-73.961695,"Convenience stores, pharmacies, and delis",,,
Los Vecinos Meat Market,987 Amsterdam Ave.,40.802028,-73.964546,"Convenience stores, pharmacies, and delis",,,
1 Taft Deli,469 W. 157th St.,40.832448,-73.941023,"Convenience stores, pharmacies, and delis",,,
Jar Deli Market,501 W. 134th St.,40.8185,-73.953381,"Convenience stores, pharmacies, and delis",,,
Amsterdam 99 Cent Plus,912 Amsterdam Ave.,40.799609,-73.966326,"Convenience stores, pharmacies, and delis",,,
La Blanda Meat Market,3824 Broadway,40.8354,-73.943765,"Convenience stores, pharmacies, and delis",,,
