CAMIS,DBA,BUILDING,STREET,ZIPCODE,Latitude,Longitude
40605511,DOMINO'S,409,WEST  125 STREET,10027.0,40.811587862688,-73.954511033458
41241639,MCDONALD'S,3549,BROADWAY,10031.0,40.826698655136,-73.950258586895
50049533,DUNKIN,2568,BROADWAY,10025.0,40.795012316671,-73.971500658714
40736137,STARBUCKS,2929,BROADWAY,10025.0,40.806955562167,-73.964671934299
41406255,"TACO BELL, KFC",3645,BROADWAY,10031.0,40.829692203437,-73.948081003541
50104804,CHIPOTLE MEXICAN GRILL,3781,BROADWAY,10032.0,40.834150885629,-73.944821513479
50048555,SUBWAY,3559,BROADWAY,10031.0,40.826912677469,-73.950103051602
50043183,CHIPOTLE MEXICAN GRILL,805,COLUMBUS AVENUE,10025.0,40.794980614566,-73.965956828718
41704745,SUBWAY,3419,BROADWAY,10031.0,40.822547135229,-73.953293115451
50008136,WENDY'S,3939,BROADWAY,10032.0,40.838875613106,-73.941366193222
50044842,"DUNKIN, BASKIN ROBBINS",900,SAINT NICHOLAS AVENUE,10032.0,40.830998189356,-73.941318958096
50018303,DUNKIN,206,WEST  104 STREET,10025.0,40.799281956047,-73.967052625573
50011485,SUBWAY,3795,BROADWAY,10032.0,40.83449111306,-73.944571879535
50071242,SUBWAY,971,AMSTERDAM AVENUE,10025.0,40.801438708714,-73.964960219668
41293203,STARBUCKS,2690,BROADWAY,10025.0,40.79902437793,-73.968580563885
41704598,DUNKIN,3369,BROADWAY,10031.0,40.821081871723,-73.954359996672
41716092,DOMINO'S,3624,BROADWAY,10031.0,40.829154397309,-73.94844277351
41271036,CHIPOTLE MEXICAN GRILL,2843,BROADWAY,10025.0,40.804293739624,-73.966616679434
50003735,DUNKIN,3833,BROADWAY,10032.0,40.835692882756,-73.943696324303
50041218,LITTLE CAESARS,3830,BROADWAY,10032.0,40.835665431843,-73.943689119939
50046844,DOMINO'S,965,AMSTERDAM AVENUE,10025.0,40.801293269011,-73.965065043605
41679966,SUBWAY,3920,BROADWAY,10032.0,40.838529892314,-73.941594180993
50099039,DUNKIN,1235,AMSTERDAM AVENUE,10027.0,40.809794439959,-73.958861631653
50043586,DUNKIN,1995,AMSTERDAM AVENUE,10032.0,40.833913066089,-73.941247716101
50058953,DOMINO'S,1988,AMSTERDAM AVENUE,10032.0,40.833775893818,-73.94137431857
50005098,DUNKIN,1342,AMSTERDAM AVENUE,10027.0,40.813644286372,-73.956077508872
41611084,MCDONALD'S,3809,BROADWAY,10032.0,40.834968527723,-73.944220941264
50045121,SUBWAY,578,WEST  125 STREET,10027.0,40.815294585669,-73.957969486745
41306786,DUNKIN,3600,BROADWAY,10031.0,40.828432766425,-73.948970898181
41211622,MCDONALD'S,2726,BROADWAY,10025.0,40.800086459964,-73.968088841896
