County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery,min_cost_eggs,min_cost_milk,min_cost_chicken_breast_lb,min_cost_oranges,min_cost_salad,min_cost_bread_loaf
New York,622503,Store,JAC,3550 FOOD CORP,KEY FOOD SUPERMARKET,3550,BROADWAY,NEW YORK,NY,10031,15000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,739952,Store,JAC,MANHATTEN AVENUE COMMUNITY CAFE I,MANHATTEN AVE COMMUNITY,51,WEST 106TH STREET,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,725281,Store,A,ABC MART NC,ABC MART,3505,BROADWAY,NEW YORK,NY,10031,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,629213,Store,JAC,DDY MINI MARKET & DELI CORP,DDY MINI MARKET & DELI,955,AMSTERDAM AVE,NEW YORK,NY,10025,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,742768,Store,JAC,HB DELI GROCERY CORP,HB DELI GROCERY,3787A,BROADWAY,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,740014,Store,JAC,NY HARVEST TRADING INC,EVERFRESH SUSHI,2840,BROADWAY,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,742988,Store,A,164 ST DELI GROCERY INC,164 ST DELI GROCERY,2097,AMSTERDAM AVE,NEW YORK,NY,10032,1600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,626825,Store,JAC,HENRIQUEZ MIGUEL,HENRIQUEZ GROCERY STORE,500,W 135TH ST,NEW YORK,NY,10031,1200,7,51417190.86,50149.62606,TRUE,,,,,,
New York,741447,Store,JAC,3805 FRESH MARKET CORP,MET FRESH ORGANIC SUPER,3805,BROADWAY,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,726077,Store,A,MINI STAR CONVENIENCE CORP,MINI STAR,3611,BROADWAY,NEW YORK,NY,10031,1600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,724018,Store,JAC,2038 AMSTERDAM GROCERY & TOBACCO,2038 AMSTERDAM GROCERY & TOBACCO,2038,AMSTERDAM AVENUE,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,621480,Store,JAC,REYES JUAN MANUEL,MANUELS GROCERY,3675,BROADWAY,NEW YORK,NY,10031,2100,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628759,Store,JAC,FRUTERA EL BUEN CAMINO CORP,FRUTERA EL BUEN CAMINO,3888,BROADWAY,NEW YORK,NY,10032,300,7,51417190.86,50149.62606,TRUE,,,,,,
New York,719384,Store,JAC,ZUNIGA LUIS ENRIQUE&SUQUINAGUA CA,AMSTERDAM FRESH STORE,1701,AMSTERDAM AVE STORE #4C,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,737631,Store,A,NYC ONE MINI MARKET FOOD CORP,NYC ONE,1995,AMSTERDAM AVE,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,743915,Store,A,946 COLUMBUS AVE LLC,946 COLUMBUS AVE CONV,946,COLUMBUS AVE,NEW YORK,NY,10025,100,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748864,Store,JAC,TSOM CORP,TSOM,1239,"AMSTERDAM AVENUE, IN MASAWA",NEW YORK,NY,10027,200,7,51417190.86,50149.62606,TRUE,,,,,,
New York,726907,Store,A,TOURE SIDI M,TOURE SIDI M,905,COLUMBUS AVE,NEW YORK,NY,10025,400,7,51417190.86,50149.62606,TRUE,,,,,,
New York,745507,Store,JAC,FAMILIA FRUIT MARKET CORP,FAMILIA FRUIT MARKET,3430,BROADWAY,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628571,Store,JAC,1836 AMSTERDAM MINIMARKET CORP,1836 AMSTERDAM MINIMKT,1836,AMSTERDAM AVE,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,TRUE,,,,,,
