,County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
0,New York,627413,Store,A,DOLLAR VARIETY STORE INC,DOLLAR VARIETY STORE,762,AMSTERDAM AVE,,,NEW YORK,NY,10025,1800,7,51417190.86,50149.62606,False
1,New York,717156,Store,JAC,GALAXY GOURMET INC,GALAXY GOURMET,3778,BROADWAY,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
2,New York,622503,Store,JAC,3550 FOOD CORP,KEY FOOD SUPERMARKET,3550,BROADWAY,,,NEW YORK,NY,10031,15000,7,51417190.86,50149.62606,True
3,New York,739966,Store,JAC,FINEST COLUMBIA DELI INC,FINEST COLUMBIA DELI,945,AMSTERDAM AVE,,,NEW YORK,NY,10025,2000,7,51417190.86,50149.62606,False
4,New York,628824,Store,JAC,SANTIAGO DELI FOOD CORP,SANTIAGO DELI FOOD,3415,BROADWAY,,,NEW YORK,NY,10031,1600,7,51417190.86,50149.62606,False
5,New York,739952,Store,JAC,MANHATTEN AVENUE COMMUNITY CAFE I,MANHATTEN AVE COMMUNITY,51,WEST 106TH STREET,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,True
6,New York,725281,Store,A,ABC MART NC,ABC MART,3505,BROADWAY,,,NEW YORK,NY,10031,2000,7,51417190.86,50149.62606,False
7,New York,629213,Store,JAC,DDY MINI MARKET & DELI CORP,DDY MINI MARKET & DELI,955,AMSTERDAM AVE,,,NEW YORK,NY,10025,1800,7,51417190.86,50149.62606,True
8,New York,713271,Store,JAC,FREEDOM DELI #2 CORP,FREEDOM DELI #2,908,ST. NICHOLAS AVE,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,False
9,New York,738688,Store,JAC,3872 ENG DELI GROCERY LLC,3872 ENG DELI,3872,BROADWAY,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
10,New York,742768,Store,JAC,HB DELI GROCERY CORP,HB DELI GROCERY,3787A,BROADWAY,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,True
11,New York,731962,Store,JAC,HEIGHTS DELI FOODS INC THE,HEIGHTS DELI FOODS,1649,AMSTERDAM AVENUE,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
12,New York,740014,Store,JAC,NY HARVEST TRADING INC,EVERFRESH SUSHI,2840,BROADWAY,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,True
13,New York,742988,Store,A,164 ST DELI GROCERY INC,164 ST DELI GROCERY,2097,AMSTERDAM AVE,,,NEW YORK,NY,10032,1600,7,51417190.86,50149.62606,False
14,New York,725353,Store,JAC,BIG APPLE SMOKE SHOP & ORGANIC CO,BIG APPLE SMOKE SHOP,3542,BROADWAY,,,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,False
15,New York,626825,Store,JAC,HENRIQUEZ MIGUEL,HENRIQUEZ GROCERY STORE,500,W 135TH ST,,,NEW YORK,NY,10031,1200,7,51417190.86,50149.62606,True
16,New York,741447,Store,JAC,3805 FRESH MARKET CORP,MET FRESH ORGANIC SUPER,3805,BROADWAY,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
17,New York,748198,Store,A,GOLDEN EARTH CANDY INC,GOLDEN EARTH CANDY,3635,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
18,New York,705291,Store,A,BEST GOURMET DELI GROCERY INC,BEST GOURMET DELI GROCE,896,AMSTERDAM AVE,,,NEW YORK,NY,10025,800,7,51417190.86,50149.62606,False
19,New York,709567,Store,JAC,ELLINGTON DELI INC,ELLINGTON DELI,934,COLUMBUS AVE,,,NEW YORK,NY,10025,2200,7,51417190.86,50149.62606,False
20,New York,726077,Store,A,MINI STAR CONVENIENCE CORP,MINI STAR,3611,BROADWAY,,,NEW YORK,NY,10031,1600,7,51417190.86,50149.62606,False
21,New York,724018,Store,JAC,2038 AMSTERDAM GROCERY & TOBACCO,2038 AMSTERDAM GROCERY,2038,AMSTERDAM AVENUE,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,True
22,New York,629399,Store,A,DUANE READE LLP,WALGREENS #14489,3387,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
23,New York,746994,Store,JAC,NEW AMSTERDAM GOURMET DELI CORP,NEW AMSTERDAM GOURMET,1681,AMSTERDAM AVENUE,,,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,False
24,New York,621480,Store,JAC,REYES JUAN MANUEL,MANUELS GROCERY,3675,BROADWAY,,,NEW YORK,NY,10031,2100,7,51417190.86,50149.62606,True
25,New York,716562,Store,JAC,162 GOURMET DELI CORP,162 GOURMET DELI,601,"WEST 162ND ST, STORE 3",,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
26,New York,628759,Store,JAC,FRUTERA EL BUEN CAMINO CORP,FRUTERA EL BUEN CAMINO,3888,BROADWAY,,,NEW YORK,NY,10032,300,7,51417190.86,50149.62606,True
27,New York,719384,Store,JAC,ZUNIGA LUIS ENRIQUE&SUQUINAGUA CA,AMSTERDAM FRESH STORE,1701,AMSTERDAM AVE STORE #4C,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,True
28,New York,624559,Store,JAC,SUPER VALUE MEAT MARKET CORP,SUPER VALUE MEAT MARKET,3461,BROADWAY,,,NEW YORK,NY,10031,3000,7,51417190.86,50149.62606,False
29,New York,732818,Store,A,F DOUGLASS 99 CENTS & UP INC,F DOUGLASS 99 CENTS,850,A AMSTERDAM AVENUE,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,False
30,New York,745013,Store,A,UNIQUE 99 CENT MORE OR LESS CORP,UNIQUE 99 CENT MORE OR,3427,BRAODWAY,,,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,False
31,New York,737631,Store,A,NYC ONE MINI MARKET FOOD CORP,NYC ONE,1995,AMSTERDAM AVE,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,False
32,New York,739644,Store,A,HAFEEZ CANDY GROCERY INC,HAFEEZ CANDY STORE,3895,BROADWAY,,,NEW YORK,NY,10032,1000,7,51417190.86,50149.62606,False
33,New York,743915,Store,A,946 COLUMBUS AVE LLC,946 COLUMBUS AVE CONV,946,COLUMBUS AVE,,,NEW YORK,NY,10025,100,7,51417190.86,50149.62606,False
34,New York,748864,Store,JAC,TSOM CORP,TSOM,1239,"AMSTERDAM AVENUE, IN MASAWA",,,NEW YORK,NY,10027,200,7,51417190.86,50149.62606,True
